Id,Domanda,Opzione corretta,Opzioni
80,"Come viene qualificato, secondo il Codice dei contratti, uno dei principi fondamentali per l'affidamento diretto dei servizi e forniture sottosoglia?",a,"a) Il principio di rotazione degli operatori economici
 b) Procedura negoziata, senza previa pubblicazione di un bando di gara
 c) Si tratta di una procedura di scelta del contraente in cui qualsiasi operatore economico può chiedere di partecipare in base ad un bando di gara o ad un avviso di indizione di gara, ma le stazioni appaltanti avviano un dialogo solo con gli operatori che, sulla base delle informazioni fornite, vengono invitate
 d) Prima dell'avvio delle procedure di affidamento
 "
81,Con la determinazione di approvazione del bando di gara:,d,"a) qualsiasi operatore economico può presentare una domanda di partecipazione in risposta a un avviso di indizione di gara, fornendo le informazioni richieste dall'ente aggiudicatore per la selezione qualitativa
 b) Deve riportare, tra l'altro, i criteri di selezione del contraente
 c) alla natura, all'oggetto e alle caratteristiche del contratto
 d) si prenota l'impegno di spesa
 "
82,Con quale atto inizia una procedura di affidamento di lavori sotto soglia comunitaria?,b,"a) La possibilità di una concorrenza effettiva e sono accompagnati da specifiche che consentono l'efficace verifica delle informazioni fornite dagli offerenti, al fine di valutare il grado di soddisfacimento dei criteri di aggiudicazione delle offerte
 b) Determinazione a contrarre
 c) Prima dell'avvio delle procedure di affidamento
 d) 35 giorni dalla pubblicazione del bando
 "
83,"Con riferimento al procedimento ad evidenza pubblica, la determinazione a contrattare:",a,"a) Deve indicare, tra l'altro, gli elementi essenziali del futuro contratto
 b) Con la determinazione a contrarre
 c) vincolante
 d) Deve riportare, tra l'altro, i criteri di selezione del contraente
 "
84,"Con riferimento al procedimento ad evidenza pubblica, la determinazione a contrattare:",b,"a) Con la determinazione a contrarre
 b) Deve indicare, tra l'altro, i criteri di selezione delle offerte
 c) vincolante
 d) Deve riportare, tra l'altro, i criteri di selezione del contraente
 "
85,"Con riferimento al procedimento ad evidenza pubblica, la determinazione a contrattare:",b,"a) Con la determinazione a contrarre
 b) Deve indicare, tra l'altro, i criteri di selezione del contraente
 c) vincolante
 d) Deve riportare, tra l'altro, i criteri di selezione del contraente
 "
86,"Con riferimento al procedimento ad evidenza pubblica, la determinazione a contrattare:",d,"a) Con la determinazione a contrarre
 b) vincolante
 c) Deve riportare, tra l'altro, i criteri di selezione del contraente
 d) Deve indicare, tra l'altro, i criteri di selezione degli operatori economici
 "
87,"Con riferimento al procedimento ad evidenza pubblica, la determinazione a contrattare:",a,"a) Deve indicare, tra l'altro, gli elementi essenziali del contratto
 b) Con la determinazione a contrarre
 c) vincolante
 d) Deve riportare, tra l'altro, i criteri di selezione del contraente
 "
88,"Con riferimento al procedimento ad evidenza pubblica, la determinazione a contrattare:",a,"a) Deve indicare, tra l'altro, i criteri di selezione delle offerte
 b) Con la determinazione a contrarre
 c) vincolante
 d) Deve riportare, tra l'altro, i criteri di selezione del contraente
 "
89,"Con riferimento al ruolo e alle funzioni del responsabile del procedimento negli appalti e nelle concessioni, quale tra le seguenti alternative NON è un compito del RUP?",a,"a) Pronunciarsi sulla localizzazione e stato dell'opera
 b) Sì, nei limiti delle proprie competenze professionali, a condizione che sia in possesso del titolo di studio, della formazione e dell'esperienza professionale necessaria e che non intervengano cause ostative alla coincidenza delle figure indicate nelle citate Linee guida
 c) Prima dell'avvio delle procedure di affidamento dei contratti pubblici, le stazioni appaltanti, in conformita' ai propri ordinamenti, decretano o determinano di contrarre
 d) Deve essere effettuato non oltre 6 mesi dopo l'ultimazione dei lavori, salvo casi particolari
 "
90,"Con riferimento alle fasi delle procedure di affidamento dei contratti pubblici, l'aggiudicazione equivale ad accettazione dell'offerta?",b,"a) Tra l'altro mediante un avviso periodico indicativo, che viene pubblicato in maniera continuativa
 b) No, non equivale ad accettazione dell'offerta
 c) qualsiasi operatore economico può presentare una domanda di partecipazione in risposta a un avviso di indizione di gara, fornendo le informazioni richieste dall'ente aggiudicatore per la selezione qualitativa
 d) No, solo in caso di procedura negoziata e procedura aperta
 "
91,"Con riferimento alle procedure per l'affidamento dei contratti pubblici di importo inferiore alle soglie di rilevanza comunitaria, in applicazione del principio di non discriminazione e di parità di trattamento le stazioni appaltanti devono garantire:",a,"a) Una valutazione equa ed imparziale dei concorrenti e l'eliminazione di ostacoli o restrizioni nella predisposizione delle offerte e nella loro valutazione
 b) linee guida, bandi-tipo, capitolati-tipo, contratti-tipo ed altri strumenti di regolazione flessibile, comunque denominati
 c) verifica esclusivamente il possesso da parte dell'aggiudicatario dei requisiti economici e finanziari e tecnico-professionali
 d) decretano o determinano di contrarre, individuando gli elementi essenziali del contratto e i criteri di selezione degli operatori economici e delle offerte
 "
92,Cos'è il subappalto?,d,"a) Un codice alfanumerico univoco e obbligatorio che identifica una gara d'appalto
 b) L'Accordo Quadro consiste in un accordo, concluso tra una stazione appaltante e uno o più operatori economici, il cui scopo è quello di stabilire le condizioni base (prezzi, qualità, quantità) dei successivi appalti (specifici) che saranno aggiudicati dalle singole amministrazioni durante un dato periodo
 c) Quando chi ha fatto la proposta ha conoscenza dell'accettazione dell'altra parte
 d) il contratto con il quale l'appaltatore affida a terzi l'esecuzione di parte delle prestazioni o lavorazioni oggetto del contratto di appalto
 "
93,Cos'è la delibera a contrarre nel sistema di formazione del contratto pubblico?,a,"a) Un atto mediante il quale la P.A. manifesta la volontà di concludere un contratto
 b) Gli elementi essenziali del contratto e i criteri di selezione degli operatori economici e delle offerte
 c) Le stazioni appaltanti e gli enti aggiudicatori
 d) quando occorre attivare il procedimento per l'individuazione del contraente
 "
94,Cos'è la determina a contrarre nel sistema di formazione del contratto pubblico?,a,"a) Un atto mediante il quale la P.A. manifesta la volontà di concludere un contratto
 b) L'intento del legislatore è quello di separare nettamente la fase di scelta del contraente, retta da regole pubblicistiche, che culmina nell'aggiudicazione, dalla fase di stipulazione del contratto, retta da regole di diritto privato
 c) Un'offerta che appare anormalmente bassa sulla base di un giudizio tecnico di congruità, serietà, sostenibilità e realizzabilità
 d) Il codice CIG - Codice Identificativo di Gara - è il codice che identifica il singolo affidamento nell'ambito del progetto ed è divenuto ora obbligatorio, ai fini della tracciabilità dei flussi finanziari, in relazione a ciascun contratto pubblico avente ad oggetto lavori, servizi e forniture, a prescindere dall'importo dello stesso e dalla procedura di affidamento prescelta
 "
95,Cos'è la determina a contrarre?,a,"a) È la determina con cui il dirigente comunale manifesta la volontà dell'Amministrazione di indire una procedura di gara e concludere un contratto
 b) Un codice alfanumerico univoco e obbligatorio che identifica una gara d'appalto
 c) Le Amministrazioni abilitate possono acquistare i beni e servizi offerti da fornitori abilitati per valori inferiori alla soglia comunitaria
 d) Il codice CIG - Codice Identificativo di Gara - è il codice che identifica il singolo affidamento nell'ambito del progetto ed è divenuto ora obbligatorio, ai fini della tracciabilità dei flussi finanziari, in relazione a ciascun contratto pubblico avente ad oggetto lavori, servizi e forniture, a prescindere dall'importo dello stesso e dalla procedura di affidamento prescelta
 "
96,Cosa è il CIG?,a,"a) Un codice alfanumerico univoco e obbligatorio che identifica una gara d'appalto
 b) Le Amministrazioni abilitate possono acquistare i beni e servizi offerti da fornitori abilitati per valori inferiori alla soglia comunitaria
 c) Il codice CIG - Codice Identificativo di Gara - è il codice che identifica il singolo affidamento nell'ambito del progetto ed è divenuto ora obbligatorio, ai fini della tracciabilità dei flussi finanziari, in relazione a ciascun contratto pubblico avente ad oggetto lavori, servizi e forniture, a prescindere dall'importo dello stesso e dalla procedura di affidamento prescelta
 d) Il codice CUP (Codice Unitario di Progetto) è obbligatorio solamente con riguardo ad ""ogni nuovo progetto di investimento pubblico""
 "
97,Cosa è il MEPA?,c,"a) Un codice alfanumerico univoco e obbligatorio che identifica una gara d'appalto
 b) Le Amministrazioni abilitate possono acquistare i beni e servizi offerti da fornitori abilitati per valori inferiori alla soglia comunitaria
 c) Mercato elettronico della pubblica amministrazione
 d) Codice Identificativo di Gara
 "
98,Cosa è un Accordo Quadro?,a,"a) L'Accordo Quadro consiste in un accordo, concluso tra una stazione appaltante e uno o più operatori economici, il cui scopo è quello di stabilire le condizioni base (prezzi, qualità, quantità) dei successivi appalti (specifici) che saranno aggiudicati dalle singole amministrazioni durante un dato periodo
 b) Un codice alfanumerico univoco e obbligatorio che identifica una gara d'appalto
 c) Le convenzioni sono Contratti quadro, stipulati da Consip per conto del MEF, nei quali i fornitori aggiudicatari di gare si impegnano ad accettare ordinativi emessi dalle singole Amministrazioni che hanno effettuato l'abilitazione al sistema Acquisti in Rete
 d) Il codice CIG - Codice Identificativo di Gara - è il codice che identifica il singolo affidamento nell'ambito del progetto ed è divenuto ora obbligatorio, ai fini della tracciabilità dei flussi finanziari, in relazione a ciascun contratto pubblico avente ad oggetto lavori, servizi e forniture, a prescindere dall'importo dello stesso e dalla procedura di affidamento prescelta
 "
99,Cosa accade alla commissione di aggiudicazione nei casi in cui si ha l'esclusione di uno dei concorrenti?,b,"a) Si, è vincolante per il periodo indicato nel bando o nell'invito e, in caso di mancata indicazione, per centottanta giorni dalla scadenza del termine per la sua presentazione
 b) Non vi è decadenza della commissione, che rimane in carica
 c) Ogni operatore economico può chiedere di partecipare, ma potranno partecipare solo gli operatori invitati dalla stazione appaltante
 d) Le caratteristiche tecnico-organizzative e economiche-finanziarie che l'impresa deve possedere per partecipare alla gara
 "
100,Cosa consente di rilevare il valore dell'importo a base di gara?,c,"a) Pari o superiore a 40.000 euro
 b) E' basato sull'importo totale pagabile, al netto dell'IVA, dall'Amministrazione compresa qualsiasi forma di opzione e rinnovo contrattuale
 c) Serve per rilevare il superamento delle soglie comunitarie
 d) Verifiche della stazione appaltante non programmate
 "
101,Cosa determina la mancata costituzione della garanzia?,d,"a) Serve per rilevare il superamento delle soglie comunitarie
 b) Le stazioni appaltanti e gli enti aggiudicatori
 c) quando occorre attivare il procedimento per l'individuazione del contraente
 d) La decadenza dell'assegnatario
 "
102,Cosa devono garantire i criteri di aggiudicazione dell'appalto?,d,"a) Solo nel caso in cui l'importo dell'affidamento sia inferiore ai 40.000 euro e con una adeguata motivazione
 b) Le caratteristiche tecnico-organizzative e economiche-finanziarie che l'impresa deve possedere per partecipare alla gara
 c) L'associazione tra due o più enti, finalizzata all'attuazione di un progetto o di una serie di progetti o di determinate intese di natura commerciale o finanziaria
 d) La possibilità di una concorrenza effettiva e sono accompagnati da specifiche che consentono l'efficace verifica delle informazioni fornite dagli offerenti, al fine di valutare il grado di soddisfacimento dei criteri di aggiudicazione delle offerte
 "
103,Cosa di intende per CIG?,b,"a) Un codice alfanumerico univoco e obbligatorio che identifica una gara d'appalto
 b) Codice Identificativo di Gara
 c) Le Amministrazioni abilitate possono acquistare i beni e servizi offerti da fornitori abilitati per valori inferiori alla soglia comunitaria
 d) Il codice CIG - Codice Identificativo di Gara - è il codice che identifica il singolo affidamento nell'ambito del progetto ed è divenuto ora obbligatorio, ai fini della tracciabilità dei flussi finanziari, in relazione a ciascun contratto pubblico avente ad oggetto lavori, servizi e forniture, a prescindere dall'importo dello stesso e dalla procedura di affidamento prescelta
 "
104,Cosa indica la Determina a contrarre?,d,"a) Gli elementi essenziali del contratto e i criteri di selezione degli operatori economici e delle offerte
 b) Quando chi ha fatto la proposta ha conoscenza dell'accettazione dell'altra parte
 c) Il codice CIG - Codice Identificativo di Gara - è il codice che identifica il singolo affidamento nell'ambito del progetto ed è divenuto ora obbligatorio, ai fini della tracciabilità dei flussi finanziari, in relazione a ciascun contratto pubblico avente ad oggetto lavori, servizi e forniture, a prescindere dall'importo dello stesso e dalla procedura di affidamento prescelta
 d) Le modalità di gara e le clausole contrattuali essenziali
 "
105,Cosa si intende per CIG?,d,"a) Un codice alfanumerico univoco e obbligatorio che identifica una gara d'appalto
 b) Le Amministrazioni abilitate possono acquistare i beni e servizi offerti da fornitori abilitati per valori inferiori alla soglia comunitaria
 c) Quando chi ha fatto la proposta ha conoscenza dell'accettazione dell'altra parte
 d) Codice Identificativo di Gara
 "
106,Cosa si intende per offerta economicamente più vantaggiosa?,a,"a) Il miglior rapporto qualità/prezzo
 b) Le Amministrazioni abilitate possono acquistare i beni e servizi offerti da fornitori abilitati per valori inferiori alla soglia comunitaria
 c) Codice Identificativo di Gara
 d) Le modalità di gara e le clausole contrattuali essenziali
 "
107,Cosa si intende per requisiti di partecipazione ad una gara per l'affidamento di un appalto pubblico?,a,"a) Le caratteristiche tecnico-organizzative e economiche-finanziarie che l'impresa deve possedere per partecipare alla gara
 b) Tra l'altro mediante un avviso periodico indicativo, che viene pubblicato in maniera continuativa
 c) La domanda di partecipazione; il documento di gara unico europeo; l'offerta; ogni altro documento richiesto per la partecipazione alla procedura di gara
 d) La possibilità di una concorrenza effettiva e sono accompagnati da specifiche che consentono l'efficace verifica delle informazioni fornite dagli offerenti, al fine di valutare il grado di soddisfacimento dei criteri di aggiudicazione delle offerte
 "
108,"Cosa s'intende per ""contratti pubblici esclusi""?",c,"a) L'associazione tra due o più enti, finalizzata all'attuazione di un progetto o di una serie di progetti o di determinate intese di natura commerciale o finanziaria
 b) Le procedure di affidamento in cui le stazioni appaltanti consultano gli operatori economici da loro scelti e negoziano con uno o più di essi le condizioni dell'appalto
 c) I contratti pubblici esclusi in tutto o in parte dall'applicazione del d.lgs. 50/2016 nel quale sono dettati per essi i principi generali
 d) il contratto con il quale l'appaltatore affida a terzi l'esecuzione di parte delle prestazioni o lavorazioni oggetto del contratto di appalto
 "
109,"Cosa s'intende per ""Joint Venture""?",c,"a) Un codice alfanumerico univoco e obbligatorio che identifica una gara d'appalto
 b) I contratti pubblici esclusi in tutto o in parte dall'applicazione del d.lgs. 50/2016 nel quale sono dettati per essi i principi generali
 c) L'associazione tra due o più enti, finalizzata all'attuazione di un progetto o di una serie di progetti o di determinate intese di natura commerciale o finanziaria
 d) Le procedure di affidamento in cui le stazioni appaltanti consultano gli operatori economici da loro scelti e negoziano con uno o più di essi le condizioni dell'appalto
 "
110,"Cosa s'intende per ""Procedure Negoziate""?",d,"a) I contratti pubblici esclusi in tutto o in parte dall'applicazione del d.lgs. 50/2016 nel quale sono dettati per essi i principi generali
 b) L'associazione tra due o più enti, finalizzata all'attuazione di un progetto o di una serie di progetti o di determinate intese di natura commerciale o finanziaria
 c) Le convenzioni sono Contratti quadro, stipulati da Consip per conto del MEF, nei quali i fornitori aggiudicatari di gare si impegnano ad accettare ordinativi emessi dalle singole Amministrazioni che hanno effettuato l'abilitazione al sistema Acquisti in Rete
 d) Le procedure di affidamento in cui le stazioni appaltanti consultano gli operatori economici da loro scelti e negoziano con uno o più di essi le condizioni dell'appalto
 "
111,Cosa s'intende per M.E.P.A. (Mercato Elettronico della Pubblica Amministrazione)?,b,"a) Si tratta di una procedura di scelta del contraente in cui qualsiasi operatore economico può chiedere di partecipare in base ad un bando di gara o ad un avviso di indizione di gara, ma le stazioni appaltanti avviano un dialogo solo con gli operatori che, sulla base delle informazioni fornite, vengono invitate
 b) Si tratta di un mercato selettivo on-line nel quale i fornitori offrono in maniera diretta i propri beni e servizi e le amministrazioni emettono gli ordini d'acquisto direttamente
 c) L'intento del legislatore è quello di separare nettamente la fase di scelta del contraente, retta da regole pubblicistiche, che culmina nell'aggiudicazione, dalla fase di stipulazione del contratto, retta da regole di diritto privato
 d) Le procedure di affidamento in cui le stazioni appaltanti consultano gli operatori economici da loro scelti e negoziano con uno o più di essi le condizioni dell'appalto
 "
112,Cosa sono le Convenzioni?,a,"a) Le convenzioni sono Contratti quadro, stipulati da Consip per conto del MEF, nei quali i fornitori aggiudicatari di gare si impegnano ad accettare ordinativi emessi dalle singole Amministrazioni che hanno effettuato l'abilitazione al sistema Acquisti in Rete
 b) Un codice alfanumerico univoco e obbligatorio che identifica una gara d'appalto
 c) L'Accordo Quadro consiste in un accordo, concluso tra una stazione appaltante e uno o più operatori economici, il cui scopo è quello di stabilire le condizioni base (prezzi, qualità, quantità) dei successivi appalti (specifici) che saranno aggiudicati dalle singole amministrazioni durante un dato periodo
 d) Le Amministrazioni abilitate possono acquistare i beni e servizi offerti da fornitori abilitati per valori inferiori alla soglia comunitaria
 "
113,Cosa sono le verifiche a sorpresa in corso di esecuzione del contratto?,b,"a) No, il limite temporale è diversificato proprio in funzione della procedura
 b) Verifiche della stazione appaltante non programmate
 c) Nelle procedure aperte tutti gli operatori economici possono partecipare alla gara, mentre in quelle ristrette la procedura di aggiudicazione si svolge tra operatori economici che sono già stati selezionati e invitati dall'Amministrazione aggiudicatrice
 d) E' basato sull'importo totale pagabile, al netto dell'IVA, dall'Amministrazione compresa qualsiasi forma di opzione e rinnovo contrattuale
 "
114,Cosa verifica il DURC?,d,"a) Le stazioni appaltanti e gli enti aggiudicatori
 b) Le modalità di gara e le clausole contrattuali essenziali
 c) Il codice CIG - Codice Identificativo di Gara - è il codice che identifica il singolo affidamento nell'ambito del progetto ed è divenuto ora obbligatorio, ai fini della tracciabilità dei flussi finanziari, in relazione a ciascun contratto pubblico avente ad oggetto lavori, servizi e forniture, a prescindere dall'importo dello stesso e dalla procedura di affidamento prescelta
 d) La regolarità contributiva dell'operatore economico
 "
115,Da quale importo risulta necessario effettuare l'acquisto di beni e servizi tramite il Mercato elettronico?,d,"a) Procedura negoziata, senza previa pubblicazione di un bando di gara
 b) Solo nel caso in cui l'importo dell'affidamento sia inferiore ai 40.000 euro e con una adeguata motivazione
 c) Gli appaltatori di lavori, i prestatori di servizi, i fornitori, i subappaltatori e i subcontraenti della filiera delle imprese, nonché i concessionari di finanziamenti pubblici anche europei a qualsiasi titolo interessati ai lavori, ai servizi e alle forniture
 d) 5.000,00 euro al netto dell'IVA
 "
116,Di quali figure si avvale il RUP nella fase di esecuzione?,b,"a) Solo nel caso in cui l'importo dell'affidamento sia inferiore ai 40.000 euro e con una adeguata motivazione
 b) Il RUP si avvale del direttore dei lavori, del coordinatore in materia di salute e sicurezza durante la fase di esecuzione secondo la normativa prevista nonché del collaudatore e del verificatore della conformità
 c) L'Autorità Nazionale Anticorruzione (ANAC)
 d) Sì, nei limiti delle proprie competenze professionali, a condizione che sia in possesso del titolo di studio, della formazione e dell'esperienza professionale necessaria e che non intervengano cause ostative alla coincidenza delle figure indicate nelle citate Linee guida
 "
117,Di regola cosa è presente nel Progetto Esecutivo?,d,"a) L'Accordo Quadro consiste in un accordo, concluso tra una stazione appaltante e uno o più operatori economici, il cui scopo è quello di stabilire le condizioni base (prezzi, qualità, quantità) dei successivi appalti (specifici) che saranno aggiudicati dalle singole amministrazioni durante un dato periodo
 b) Le modalità di gara e le clausole contrattuali essenziali
 c) Le convenzioni sono Contratti quadro, stipulati da Consip per conto del MEF, nei quali i fornitori aggiudicatari di gare si impegnano ad accettare ordinativi emessi dalle singole Amministrazioni che hanno effettuato l'abilitazione al sistema Acquisti in Rete
 d) La certezza dei tempi e dei costi previsti
 "
118,Dopo l'assegnazione si arriva ad un contratto che sarà normato da:,c,"a) qualsiasi operatore economico può presentare una domanda di partecipazione in risposta a un avviso di indizione di gara, fornendo le informazioni richieste dall'ente aggiudicatore per la selezione qualitativa
 b) Determinazione a contrattare - pubblicazione del bando di gara - scelta del contraente - aggiudicazione e stipula del contratto - approvazione ed eventuali controlli
 c) regole di diritto privato
 d) alla natura, all'oggetto e alle caratteristiche del contratto
 "
119,Dopo l'assegnazione si arriva ad un contratto che sarà normato da:,b,"a) qualsiasi operatore economico può presentare una domanda di partecipazione in risposta a un avviso di indizione di gara, fornendo le informazioni richieste dall'ente aggiudicatore per la selezione qualitativa
 b) regole di diritto privato
 c) Determinazione a contrattare - pubblicazione del bando di gara - scelta del contraente - aggiudicazione e stipula del contratto - approvazione ed eventuali controlli
 d) alla natura, all'oggetto e alle caratteristiche del contratto
 "
120,Dove è pubblicato il programma biennale degli acquisti di beni e servizi nonché i relativi aggiornamenti annuali?,d,"a) Definisce gli acquisti di beni e di servizi di importo unitario stimato pari o superiore a 40.000 euro
 b) L'ANAC con proprie linee guida stabilisce le modalità di dettaglio per la formazione e gestione degli elenchi degli operatori economici
 c) L'ANAC con proprie linee guida stabilisce le modalità di dettaglio per la formazione e gestione degli elenchi degli operatori economici
 d) È pubblicato sul profilo del committente, sul sito informatico del Ministero delle infrastrutture e dei trasporti e dell'Osservatorio dei contratti pubblici
 "
121,"E' possibile per le stazioni appaltanti procedere all'affidamento di lavori, servizi e forniture con il sistema dell'affidamento diretto?",c,"a) verifica esclusivamente il possesso da parte dell'aggiudicatario dei requisiti economici e finanziari e tecnico-professionali
 b) decretano o determinano di contrarre, individuando gli elementi essenziali del contratto e i criteri di selezione degli operatori economici e delle offerte
 c) Si, secondo le modalita' e i criteri stabiliti dal codice dei contratti
 d) pubblicano un avviso di indizione di gara precisando che si tratta di un sistema dinamico di acquisizione
 "
122,E' sempre obbligatoria l'adozione della determina a contrarre preventivamente all'avvio delle procedure di affidamento?,d,"a) qualsiasi operatore economico può presentare una domanda di partecipazione in risposta a un avviso di indizione di gara, fornendo le informazioni richieste dall'ente aggiudicatore per la selezione qualitativa
 b) Deve riportare, tra l'altro, i criteri di selezione del contraente
 c) Deve indicare, tra l'altro, i criteri di selezione delle offerte
 d) No, solo in caso di procedura negoziata e procedura aperta
 "
123,"Fatte salve le eccezioni di legge, il criterio per l'aggiudicazione degli appalti è:",a,"a) quello dell'offerta economicamente più vantaggiosa o quello del minor prezzo
 b) qualsiasi operatore economico può presentare una domanda di partecipazione in risposta a un avviso di indizione di gara, fornendo le informazioni richieste dall'ente aggiudicatore per la selezione qualitativa
 c) E' costituta da un numero dispari di commissari, non superiore a cinque
 d) Deve essere applicato in ogni caso
 "
124,"Generalmente entro quanti giorni, dalla loro trasmissione, vengono pubblicati gli avvisi e i bandi di gara?",d,"a) Tra l'altro mediante un avviso periodico indicativo, che viene pubblicato in maniera continuativa
 b) Prima dell'avvio delle procedure di affidamento
 c) Prima dell'avvio delle procedure di affidamento
 d) Entro cinque giorni
 "
125,"Gli appalti pubblici si distinguono in attivi e passivi. Che cosa si intende per ""contratti attivi""?",a,"a) I ""contratti attivi"" sono quelli dai quali deriva un'entrata per lo Stato e che non producono spesa
 b) Sì, l'appaltatore/operatore può indicare più conti correnti dedicati per un singolo appalto pubblico
 c) Si, sono tenuti a rispettare gli obblighi stabiliti dalla normativa europea e nazionale e dai contratti collettivi
 d) Sì, sono tenuti a rispettare gli obblighi stabiliti dalla normativa europea e nazionale e dai contratti collettivi
 "
126,Gli atti delle amministrazioni aggiudicatrici relativi alla programmazione di lavori e opere devono essere resi pubblici?,b,"a) Sì
 b) Si
 c) Si, devono essere pubblicati nella sezione ""Amministrazione trasparente""
 d) Tra l'altro mediante un avviso periodico indicativo, che viene pubblicato in maniera continuativa
 "
127,Gli atti delle amministrazioni aggiudicatrici relativi alla programmazione di servizi e forniture:,b,"a) decretano o determinano di contrarre, individuando gli elementi essenziali del contratto e i criteri di selezione degli operatori economici e delle offerte
 b) Devono essere pubblicati nella sezione ""Amministrazione trasparente""
 c) il programma biennale degli acquisti di beni e servizi e il programma triennale dei lavori pubblici, nonché i relativi aggiornamenti annuali
 d) pubblicano un avviso di indizione di gara precisando che si tratta di un sistema dinamico di acquisizione
 "
128,Gli atti delle amministrazioni aggiudicatrici relativi alle procedure per l'affidamento di concorsi pubblici di progettazione devono essere resi pubblici?,a,"a) Sì
 b) Si, devono essere pubblicati nella sezione ""Amministrazione trasparente""
 c) Tra l'altro mediante un avviso periodico indicativo, che viene pubblicato in maniera continuativa
 d) Si
 "
129,Gli atti relativi alle procedure per l'affidamento di concorsi di idee e di concessioni delle amministrazioni aggiudicatrici devono essere resi pubblici?,b,"a) No, le procedure di affidamento devono aver luogo nel rispetto degli atti di programmazione
 b) Si, devono essere pubblicati nella sezione ""Amministrazione trasparente""
 c) Partenariato per l'innovazione - Dialogo competitivo
 d) Consiglio superiore dei lavori pubblici
 "
130,Gli enti aggiudicatori possono limitare:,d,"a) decretano o determinano di contrarre, individuando gli elementi essenziali del contratto e i criteri di selezione degli operatori economici e delle offerte
 b) la vigilanza e il controllo sui contratti pubblici e l'attività di regolazione degli stessi
 c) decretano o determinano di contrarre, individuando gli elementi essenziali del contratto e i criteri di selezione degli operatori economici e delle offerte
 d) il numero di candidati idonei da invitare a partecipare alla procedura
 "
131,Gli operatori economici possono riutilizzare il DGUE utilizzato in una procedura d'appalto precedente?,c,"a) Si, è vincolante per il periodo indicato nel bando o nell'invito e, in caso di mancata indicazione, per centottanta giorni dalla scadenza del termine per la sua presentazione
 b) verifica esclusivamente il possesso da parte dell'aggiudicatario dei requisiti economici e finanziari e tecnico-professionali
 c) Si, purché confermino che le informazioni ivi contenute sono ancore valide
 d) dell'affidamento diretto, della procedura aperta, della procedura negoziata o della procedura negoziata con un solo operatore
 "
132,"Gli operatori economici, in sede di offerta, indicano:",c,"a) La procedura negoziata, la procedura ristretta e la procedura aperta
 b) una condotta leale ed improntata a buona fede, sia nella fase di affidamento sia in quella di esecuzione
 c) le parti del contratto di concessione che intendono subappaltare a terzi
 d) nella Determina a contrattare
 "
133,"I capitolati e il computo estimativo metrico, richiamati nel bando o nell'invito, fanno parte integrante del contratto?",d,"a) è redatto sulla base dell'avvenuto svolgimento di indagini geologiche, idrogeologiche, idrologiche, idrauliche, geotecniche, sismiche, storiche, paesaggistiche ed urbanistiche, di verifiche preventive dell'interesse archeologico, di studi preliminari sull'impatto ambientale
 b) E' superiore a 100.000 Euro
 c) Responsabile unico del procedimento
 d) Sì, sempre
 "
134,I certificati di pagamento relativi agli acconti del corrispettivo di appalto sono di norma emessi:,d,"a) dell'importo massimo stimato, al netto dell' IVA, compresi eventuali opzioni o rinnovi del contratto esplicitamente previsti nei documenti di gara
 b) prescindendo dalle rispettive quote e tale calcolo comprende il valore delle operazioni di posa e di installazione
 c) applica una detrazione sui successivi pagamenti e procede al pagamento diretto all'affidatario, nonché applica le eventuali diverse sanzioni previste nel contratto
 d) contestualmente all'adozione di ogni SAL e comunque entro un termine non superiore a sette giorni dall'adozione degli stessi
 "
135,"I concorrenti alle gare, nell'ambito della verifica del requisito di idoneità professionale, a quale dei seguenti albi/registri sono obbligati ad essere iscritti?",a,"a) Registro della Camera di Commercio industria o artigianato
 b) Si, devono essere pubblicati nella sezione ""Amministrazione trasparente""
 c) Tra l'altro mediante un avviso periodico indicativo, che viene pubblicato in maniera continuativa
 d) Entro cinque giorni dall'adozione del provvedimento
 "
136,"I contratti stipulati per iscritto tra una o più stazioni appaltanti e uno o più operatori economici aventi per oggetto l'esecuzione, oppure la progettazione esecutiva e l'esecuzione di un'opera sono:",c,"a) un Responsabile Unico del Procedimento
 b) verifica esclusivamente il possesso da parte dell'aggiudicatario dei requisiti economici e finanziari e tecnico-professionali
 c) Appalti pubblici di lavori
 d) realizza i lavori della categoria prevalente
 "
137,I criteri di selezione riguardano esclusivamente:,b,"a) Determinazione a contrattare - pubblicazione del bando di gara - scelta del contraente - aggiudicazione e stipula del contratto - approvazione ed eventuali controlli
 b) i requisiti di idoneità professionale, la capacità economica e finanziaria e le capacità tecniche e professionali
 c) quello dell'offerta economicamente più vantaggiosa o quello del minor prezzo
 d) riservata a coloro che siano stati invitati a partecipare dalla stessa Pubblica Amministrazione
 "
138,"I documenti di gara stabiliscono i criteri di aggiudicazione dell'offerta, pertinenti:",a,"a) alla natura, all'oggetto e alle caratteristiche del contratto
 b) qualsiasi operatore economico può presentare una domanda di partecipazione in risposta a un avviso di indizione di gara, fornendo le informazioni richieste dall'ente aggiudicatore per la selezione qualitativa
 c) sull'aggiudicatario e sul concorrente che lo segue in graduatoria
 d) Un processo per fasi successive basato su un dispositivo elettronico di presentazione di nuovi prezzi modificati al ribasso o di nuovi valori riguardanti taluni elementi delle offerte, che interviene dopo una prima valutazione completa delle offerte permettendo che la loro classificazione possa essere effettuata sulla base di un trattamento automatico
 "
