Id,Domanda,Risposta,Tipo-Domanda
158,Il nominativo del RUP:,"è indicato nel bando o avviso con cui si indice la gara per l'affidamento del contratto di lavori, servizi, forniture, ovvero, nelle procedure in cui non vi sia bando o avviso con cui si indice la gara, nell'invito a presentare un'offerta",Completamento
159,Il pregio tecnico è un valore che è tipico di un'offerta che ha come criterio di aggiudicazione:,l'offerta economicamente più vantaggiosa,Completamento
160,Il procedimento di formazione di un contratto ad evidenza pubblica si avvia generalmente:,Con la determinazione a contrarre,Completamento
161,Il progetto di fattibilità:,"è redatto sulla base dell'avvenuto svolgimento di indagini geologiche, idrogeologiche, idrologiche, idrauliche, geotecniche, sismiche, storiche, paesaggistiche ed urbanistiche, di verifiche preventive dell'interesse archeologico, di studi preliminari sull'impatto ambientale",Completamento
162,Il programma biennale di forniture e servizi e i relativi aggiornamenti annuali:,Definisce gli acquisti di beni e di servizi di importo unitario stimato pari o superiore a 40.000 euro,Completamento
163,Il programma degli acquisti di beni e servizi deve avere frequenza:,biennale,Completamento
164,Il programma dei lavori pubblici deve avere frequenza:,triennale,Completamento
165,Il programma triennale dei lavori pubblici e i relativi aggiornamenti annuali contengono i lavori il cui valore stimato:,E' superiore a 100.000 Euro,Completamento
166,Il Punto Ordinante agisce:,esclusivamente in nome e per conto del Soggetto Aggiudicatore di appartenenza cui è associato,Completamento
167,"Il responsabile unico del procedimento, nell'ambito dei contratti pubblici non può...",Esprimere pareri relativamente a questioni insorte nell'ambito di una procedura di gara,Completamento
168,Il Soggetto Aggiudicatore richiede l'abilitazione e opera nell'ambito del Sistema di e-Procurement attraverso:,il Punto Ordinante,Completamento
169,Il subappalto consiste:,nel contratto con il quale l'appaltatore affida a terzi l'esecuzione di parte delle prestazioni o lavorazioni oggetto del contratto di appalto,Completamento
170,"Il termine ""consorzio"" si riferisce ai consorzi previsti dall'ordinamento:",con o senza personalità giuridica,Completamento
171,"In applicazione del principio di correttezza, le stazioni appaltanti devono garantire:","una condotta leale ed improntata a buona fede, sia nella fase di affidamento sia in quella di esecuzione",Completamento
172,"In applicazione del principio di rotazione ed ai sensi dell'art.49 comma 2 del D.Lgs. 36/2023, è vietato l'affidamento o l'aggiudicazione di un appalto al contraente uscente nei casi in cui:",due consecutivi affidamenti abbiano a oggetto una commessa rientrante nello stesso settore merceologico o stessa categoria di opere o settore di servizi,Completamento
173,In applicazione di quale principio le stazioni appaltanti devono garantire l'effettiva contendibilità degli affidamenti da parte dei soggetti potenzialmente interessati?,In applicazione del principio di libera concorrenza,Generazione
174,In applicazione di quale principio le stazioni appaltanti devono garantire l'uso ottimale delle risorse da impiegare nello svolgimento della selezione ovvero nell'esecuzione del contratto?,In applicazione del principio di economicità,Generazione
175,"In base al Codice degli Appalti, i controlli sulla veridicità delle dichiarazioni fornite in sede di presentazione dell'offerta vengono effettuati d'ufficio:",sull'aggiudicatario e sul concorrente che lo segue in graduatoria,Completamento
176,"In base alla normativa vigente in materia di lavori pubblici, quale delle seguenti affermazioni riferite al collaudo finale è corretta?","Deve essere effettuato non oltre 6 mesi dopo l'ultimazione dei lavori, salvo casi particolari",Generazione
177,"In base alla normativa vigente in materia di lavori pubblici, quali sono le modalità di svincolo della garanzia definitiva costituita dall'esecutore dei lavori?","La garanzia è progressivamente svincolata a misura dell'avanzamento dell'esecuzione, nel limite massimo dell'80% dell'iniziale importo garantito, senza necessità di nulla osta del committente, ma con preventiva consegna degli stati di avanzamento lavori o documenti analoghi, attestanti l'avvenuta esecuzione",Generazione
178,"In base alla normativa vigente sugli appalti di lavori pubblici, l'appaltatore, per la sottoscrizione del contratto, è tenuto a costituire:",una garanzia definitiva del 10 per cento dell'importo contrattuale,Completamento
179,"In base alla normativa vigente, nell'affidamento diretto di un servizio dell'importo di 30.000,00 euro, quanti operatori economici vanno consultati come minimo?",1 operatore,Generazione
180,"In base alla normativa vigente, nell'affidamento diretto di un servizio dell'importo di 35.000,00 euro, quanti operatori economici vanno consultati come minimo?",1 operatore,Generazione
181,"In base alla normativa vigente, nell'affidamento diretto di un servizio dell'importo di 39.999,99 euro, quanti operatori economici vanno consultati come minimo?",1 operatore,Generazione
182,"In caso di asta elettronica, le offerte presentate da offerenti che non possiedono la qualificazione necessaria e le offerte il cui prezzo supera l'importo posto dalle stazioni appaltanti a base di gara (stabilito e documentato prima dell'avvio della procedura di appalto) sono considerate:",Inaccettabili,Completamento
183,"In caso di mancata nomina del RUP da parte della Stazione Appaltante, nell'atto di avvio dell'intervento pubblico, ai sensi dell'art. 15 comma 2 del D.Lgs. 36/2023, l'incarico è svolto :",dal responsabile dell'unità organizzativa competente per l'intervento,Completamento
184,In caso di procedura aperta:,qualsiasi operatore economico interessato può presentare un'offerta in risposta a un avviso di indizione di gara,Completamento
185,"In caso di proroga dei termini di presentazione delle offerte è consentito agli operatori economici che hanno già presentato l'offerta di ritirarla ed eventualmente sostituirla ai sensi dell'art. 92, co 3, del D.Lgs.36/2023?","Sì, sempre",Generazione
186,In che casi si fa ricorso al M.E.P.A.?,Solo per gli acquisti al di sotto della soglia comunitaria,Generazione
187,In che documento della P.A. sono presenti le modalità di aggiudicazione?,nella Determina a contrattare,Generazione
188,In che documento della P.A. sono presenti le modalità di aggiudicazione?,Nella Determina,Generazione
189,In che relazione si pone l'affidamento in house rispetto alla disciplina degli appalti pubblici?,È un affidamento diretto senza gara,Generazione
190,In cosa consta la garanzia di riservatezza e di integrità in capo alla stazione appaltante?,Nel fatto che la stazione appaltante garantisce che l'integrità dei dati e la riservatezza delle offerte e delle domande di partecipazione siano mantenute,Generazione
191,"In fase di selezione delle offerte, la commissione giudicatrice, composta da esperti nello specifico settore cui afferisce l'oggetto del contratto, è costituta da:","un numero dispari di commissari, non superiore a cinque, individuati dalla stazione appaltante. Di regola, la commissione giudicatrice lavora a distanza con procedure telematiche che salvaguardino la riservatezza delle comunicazioni",Completamento
192,In materia di appalti dei servizi sociali si devono ritenere estranee al codice degli appalti:,Unicamente le procedure di accreditamento c.d. libero e le procedure di co-progettazione e partenariato finalizzate a rapporti puramente gratuiti,Completamento
193,"In materia di appalti di servizi sociali, con riferimento alla disciplina della pubblicazione degli avvisi e dei bandi, gli enti aggiudicatori che intendono procedere all'aggiudicazione di un appalto per tali servizi, in che modo rendono nota tale intenzione?","Tra l'altro mediante un avviso periodico indicativo, che viene pubblicato in maniera continuativa",Generazione
194,In quale dei casi di seguito indicati le Amministrazioni pubbliche possono decidere di non procedere all'aggiudicazione?,Se nessuna delle offerte ricevute risulti conveniente o idonea in relazione all'oggetto del contratto,Generazione
195,In quale dei casi di seguito indicati le Amministrazioni Pubbliche possono decidere di non procedere all'aggiudicazione?,Nel caso in cui nessuna delle offerte ricevute risulti conveniente o idonea in relazione all'oggetto del contratto,Generazione
196,In quale dei citati sistemi di scelta del contraente qualsiasi operatore economico può presentare una domanda di partecipazione in risposta ad un avviso di indizione di una gara fornendo le informazioni richieste dall'amministrazione aggiudicatrice ai fini della selezione qualitativa?,Procedura ristretta,Generazione
197,"In quali casi la Determina a contrarre prevede l'inserimento di un ""obbligo di motivazione"" più ampio?","Nei casi in cui l'Amministrazione dia il via ad una procedura negoziata, al fine di motivare la scelta di questo tipo di procedura",Generazione
198,"In quali casi la Determina prevede l'inserimento di un ""obbligo di motivazione"" più ampio?","Nei casi in cui l'Amministrazione dia il via ad una procedura negoziata, al fine di motivare la scelta di questo tipo di procedura",Generazione
199,In quali casi le Stazioni appaltanti possono procedere ad un affidamento diretto?,Solo nel caso in cui l'importo dell'affidamento sia inferiore ai 40.000 euro e con una adeguata motivazione,Generazione
200,"In riferimento all'art. 93, co. 1, del D.Lgs.36/2023, ai fini della selezione della migliore offerta nelle procedure di aggiudicazione di contratti di appalti con il criterio dell'offerta economicamente più vantaggiosa, dopo la scadenza del termine per la presentazione delle offerte, è nominata una commissione giudicatrice la quale svolge anche attività di supporto per la verifica dell'anomalia?","Sì, Su richiesta del RUP",Generazione
201,Indicare il corretto ordine delle fasi in cui si articola la procedura ad evidenza pubblica.:,Determinazione a contrattare - pubblicazione del bando di gara - scelta del contraente - aggiudicazione e stipula del contratto - approvazione ed eventuali controlli,Completamento
202,"Indicare quale tra le seguenti opzioni di risposta descrive un elemento delle ""Procedure competitive con negoziazione"":","La 1°fase di tali procedure coincide con le Procedure ristrette, ai fini della presentazione delle offerte iniziali",Completamento
203,"Indicare, tra le seguenti opzioni di risposta, la corretta definizione di ""Aste elettroniche"":","Esse generano un processo per fasi successive, di presentazione di nuovi prezzi, modificati al ribasso o di nuovi valori riguardanti taluni elementi delle offerte, successivo a una prima valutazione completa delle offerte, la cui classificazione può essere effettuata sulla base di un trattamento automatico",Completamento
204,"Indicare, tra le seguenti opzioni di risposta, la corretta definizione di ""Cataloghi elettronici"".:","Sistemi di presentazione delle offerte sotto forma di o che includano un catalogo elettronico, eventualmente corredate di altri documenti, a completamento dell'offerta",Completamento
205,"Indicare, tra le seguenti opzioni di risposta, la corretta definizione di ""Mercato Elettronico"".:",Strumento di acquisto e di negoziazione per importi sotto soglia che attua procedure di scelta del contraente interamente gestite per via telematica,Completamento
206,"Indicare, tra le seguenti opzioni di risposta, la corretta definizione di ""Mercato Elettronico"":",Strumento di acquisto e di negoziazione per importi sotto soglia che attua procedure di scelta del contraente interamente gestite per via telematica,Completamento
207,"Indicare, tra le seguenti opzioni di risposta, la corretta definizione di ""Procedure Aperte"".:",Procedure di affidamento per le quali ogni operatore economico interessato può presentare un'offerta in risposta ad un avviso di indizione di gara,Completamento
208,"Indicare, tra le seguenti opzioni di risposta, la corretta definizione di ""Procedure Negoziate"".:",Procedure di affidamento in cui le stazioni appaltanti consultano gli operatori economici da loro scelti e negoziano con uno o più di essi le condizioni dell'appalto,Completamento
209,"Indicare, tra le seguenti opzioni di risposta, la corretta definizione di ""Procedure Ristrette"".:","Procedure di affidamento per le quali ogni operatore economico può presentare domanda di partecipazione, in risposta a un avviso, fornendo le informazioni richieste ai fini della valutazione qualitativa e in cui possono presentare offerta gli operatori economici giudicati idonei e invitati",Completamento
210,"Indicare, tra le seguenti opzioni di risposta, la corretta definizione di ""Sistema Dinamico di Acquisizione"":","Processo per acquisti di uso corrente, le cui caratteristiche generalmente disponibili sul mercato soddisfano le esigenze di una stazione appaltante, anche sopra soglia",Completamento
211,"La ""Determina a contrarre"" è:",un atto formalmente necessario per la Stazione appaltante,Completamento
212,"La ""Determina"" è:",un atto formalmente necessario per la Stazione appaltante,Completamento
213,"La ""procedura ristretta"" consiste:",in una procedura di affidamento alla quale ogni operatore economico può chiedere di partecipare e in cui possono presentare un'offerta soltanto gli operatori economici invitati dalle stazioni appaltanti,Completamento
214,La Banca Dati Nazionale dei Contratti Pubblici è gestita da:,ANAC,Completamento
215,"La capacità tecnica del prestatore d'opera può essere soggetta ai criteri di valutazione in caso di aggiudicazione al ""minor prezzo""?","L'unico criterio di aggiudicazione è il prezzo più basso, quindi la risposta è no",Generazione
216,La commissione aggiudicatrice deve:,lavorare con il plenum dei suoi componenti,Completamento
217,La commissione di aggiudicazione deve essere composta:,da non più di 5 membri,Completamento
218,"La commissione di valutazione, nell'ambito delle procedure di appalto pubblico:","E' costituta da un numero dispari di commissari, non superiore a cinque",Completamento
219,"La consegna dei lavori è effettuata dal Direttore dei lavori, previa disposizione:",del RUP,Completamento
220,"La domanda di partecipazione, ai sensi dell'art. 91, comma 2, del D.Lgs.36/2023, contiene :","gli elementi di identificazione del concorrente e l'indicazione della forma giuridica con la quale si presenta in gara, l'eventuale dichiarazione della volontà di avvalersi di impresa ausiliaria, nonché l'indicazione dei dati e dei documenti relativi ai requisiti speciali di partecipazione",Completamento
221,La durata dei contratti pubblici è presente:,nella Determina a contrattare,Completamento
222,La durata della nomina dei Punti Istruttori è stabilita:,dal Soggetto Aggiudicatore che l'ha nominato,Completamento
223,La durata delle concessioni è:,limitata,Completamento
224,La durata delle concessioni è:,limitata e determinata nel bando di gara dall'amministrazione aggiudicatrice o dall'ente aggiudicatore in funzione dei lavori o servizi richiesti al concessionario,Completamento
225,"La fase finale della procedura di scelta, da parte di una Pubblica Amministrazione, di un contraente mediante procedura aperta si chiama:",aggiudicazione,Completamento
226,La forma è:,Un elemento essenziale del contratto se previsto dalla legge a pena di nullita',Completamento
227,"La gara a ""procedura negoziata"" può essere utilizzata anche senza previa pubblicazione?",Solo nei casi espressamente prevista dalla legge,Generazione
228,La garanzia definitiva che l'appaltatore è obbligato a costituire può essere costituita anche mediante fideiussione assicurativa?,Si,Generazione
229,La garanzia definitiva che l'appaltatore è obbligato a costituire può essere costituita anche mediante fideiussione bancaria?,Si,Generazione
230,"La garanzia fideiussoria, denominata ""garanzia provvisoria"", presentata dal partecipante a corredo della propria offerta in sede di gara, è pari al:",2% dell'importo a base d'asta,Completamento
231,La P.A. può recedere da un contratto qualora...,Sia previsto dalla legge o dal contratto medesimo,Completamento
232,La procedura di stipula di un contratto ha inizio con la determina (o decreto) a contrattare. Tale atto:,"Deve riportare, tra l'altro, i criteri di selezione del contraente",Completamento
233,La procedura di stipula di un contratto pubblico ha inizio con la determina (o decreto) a contrarre. La determina a contrarre:,"Deve indicare, tra l'altro, i criteri di selezione delle offerte",Completamento
234,La procedura di stipula di un contratto pubblico ha inizio con la determina (o decreto) a contrarre. La determina a contrarre:,"Deve indicare, tra l'altro, quanto indicato nelle altre alternative di risposta",Completamento
235,La procedura di stipula di un contratto pubblico ha inizio con la determina (o decreto) a contrarre. La determina a contrarre:,"Deve indicare, tra l'altro, quanto indicato nelle altre alternative di risposta",Completamento
236,La progettazione in materia di lavori pubblici si articola secondo tre livelli di successivi approfondimenti tecnici:,"progetto di fattibilità tecnica ed economica, progetto definitivo e progetto esecutivo",Completamento
237,"La progettazione in materia di lavori pubblici, si articola in due livelli, come indicato all'art.41 del D.Lgs. 36/2023. Quali sono?",Il progetto di fattibilità tecnico-economica e il progetto esecutivo,Generazione
238,La proposta di aggiudicazione:,è soggetta ad approvazione dell'organo competente secondo l'ordinamento della stazione appaltante e nel rispetto dei termini dallo stesso previsti,Completamento
239,La Pubblica Amministrazione può scegliere i propri contraenti attraverso una procedura ristretta. Tale procedura consiste in una gara:,riservata a coloro che siano stati invitati a partecipare dalla stessa Pubblica Amministrazione,Completamento
240,La Pubblica Amministrazione può stipulare contratti?,Sì,Generazione
241,La pubblicazione dei bandi sotto soglia sulla Gazzetta Ufficiale dell'Unione Europea:,non è obbligatoria,Completamento
242,"La sigla RUP, nell'ambito del Codice dei contratti pubblici, indica il __________"": quale risposta completa correttamente la frase?",responsabile unico del progetto,Generazione
243,"La sigla RUP, nell'ambito del Codice dei contratti pubblici, indica:",il responsabile unico del progetto,Completamento
244,La società Consip è sottoposta al controllo:,Della Corte dei Conti perché azienda che opera con risorse esclusivamente pubbliche,Completamento
245,"La soglia di rilevanza comunitaria prevista dal Codice dei contratti pubblici per gli appalti di servizi e forniture, per l'anno 2022 è di:",€ 140.000 o € 215.000 a seconda dell'amministrazione aggiudicatrice,Completamento
246,La sospensione del contratto da chi può essere disposta?,"Dal RUP per ragioni di necessità o di pubblico interesse, tra cui l'interruzione di finanziamenti per esigenze sopravvenute di finanza pubblica, disposta con atto motivato delle amministrazioni competenti",Generazione
247,La sospensione del contratto da chi può essere disposta?,"Dal RUP per ragioni di necessità o di pubblico interesse, tra cui l'interruzione di finanziamenti per esigenze sopravvenute di finanza pubblica, disposta con atto motivato delle amministrazioni competenti",Generazione
248,La stazione appaltante o l'ente concedente può indire il dibattito pubblico ai sensi dell'art. 40 comma 1 del D.Lgs. 36/2023?,"Sì, ove ne ravvisi l'opportunità",Generazione
249,La stipulazione dei contratti pubblici segue:,le regole del diritto privato,Completamento
250,La stipulazione dei contratti pubblici segue:,le regole del diritto privato,Completamento
251,La Trattativa Diretta sul MEPA:,E' una modalita' di negoziazione prevista dal Codice degli Appalti Pubblici (D. Lgs. 50/2016) che consente all'interno del MEPA di negoziare direttamente con un unico operatore economico,Completamento
252,"La vigilanza e il controllo sui contratti pubblici e l'attività di regolazione degli stessi, sono attribuiti, nei limiti di quanto stabilito dal codice dei contratti pubblici:",All'Autorità nazionale anticorruzione (ANAC),Completamento
253,"L'affidamento e l'esecuzione di appalti e concessioni si svolge, tra gli altri, nel rispetto del principio di:",economicità,Completamento
254,L'aggiudicazione del contratto:,diventa efficace a seguito della verifica del possesso dei requisiti prescritti nel bando,Completamento
255,"L'amministrazione aggiudicatrice o ente aggiudicatore che affida contratti di concessione di lavori o di servizi e che è comunque tenuto, nella scelta del contraente, al rispetto del D.Lgs. 36/2023 e s.m.i., si chiama:",ente concedente,Completamento
256,L'ANAC garantisce la promozione dell'efficienza e della qualità dell'attività delle stazioni appaltanti attraverso:,"linee guida, bandi-tipo, capitolati-tipo, contratti-tipo ed altri strumenti di regolazione flessibile, comunque denominati",Completamento
257,"L'appaltatore, per la sottoscrizione del contratto:","deve costituire una garanzia denominata ""garanzia definitiva""",Completamento
258,L'approvazione di un contratto per lavori pubblici deve essere assunta:,con determina del responsabile del servizio,Completamento
259,L'attività svolta dai Punti Istruttori ha:,carattere meramente interno rispetto al Soggetto Aggiudicatore di pertinenza,Completamento
260,"Le ""amministrazioni aggiudicatrici"" sono:","le amministrazioni dello Stato; gli enti pubblici territoriali; gli altri enti pubblici non economici; gli organismi di diritto pubblico; le associazioni, unioni, consorzi, comunque denominati, costituiti da detti soggetti",Completamento
261,Le amministrazioni abilitate possono concludere accordi specifici dopo gli accordi quadri?,"Si, queste provvedono a negoziare i singoli contratti",Generazione
262,Le Amministrazioni abilitate possono fare acquisti in MEPA al di sopra di un milione di euro?,"No, gli acquisti in MEPA devono essere fatti al di sotto la soglia minima comunitaria",Generazione
263,Le Amministrazioni aggiudicatrici adottano:,"il programma biennale degli acquisti di beni e servizi e il programma triennale dei lavori pubblici, nonché i relativi aggiornamenti annuali",Completamento
264,Le amministrazioni aggiudicatrici sono tenute ad adottare il programma biennale degli acquisti di beni e servizi?,Si,Generazione
265,Le attività principali della commissione di aggiudicazione sono?,Attività di natura tecnica relativa alla valutazione delle offerte presentate,Generazione
266,Le capacità tecniche e professionali:,"sono attinenti e proporzionate all'oggetto dell'appalto, tenendo presente l'interesse pubblico ad avere il più ampio numero di potenziali partecipanti, nel rispetto dei principi di trasparenza e rotazione",Completamento
267,Le cause di esclusione degli operatori economici di cui agli artt. 94 e 95 del D.Lgs. n.36/2023:,sono tassative,Completamento
268,Le centrali di committenza sono tenute:,all'osservanza del codice degli appalti,Completamento
269,"Le informazioni e i dati relativi alla programmazione di lavori, servizi e forniture, nonché alle procedure del ciclo di vita dei contratti pubblici , ai sensi dell'art. 28 comma 1 D.Lgs.36/2023, sono trasmessi tempestivamente:",alla Banca dati nazionale dei contratti pubblici,Completamento
270,Le procedure alle quali ogni operatore economico può chiedere di partecipare e in cui possono presentare un'offerta soltanto gli operatori economici invitati dalle stazioni appaltanti sono denominate procedure:,ristrette,Completamento
271,Le procedure di affidamento alle quali ogni operatore economico puo' chiedere di partecipare e in cui possono presentare un'offerta soltanto gli operatori economici invitati dalle stazioni appaltanti si definiscono come...,Procedure ristrette,Completamento
272,Le procedure di affidamento dei contratti pubblici devono aver luogo nel rispetto degli atti di programmazione delle stazioni appaltanti?,Si,Generazione
273,Le procedure di affidamento dei contratti pubblici possono disattendere gli atti di programmazione delle stazioni appaltanti?,"No, le procedure di affidamento devono aver luogo nel rispetto degli atti di programmazione",Generazione
274,"Le procedure di affidamento dei servizi sociali contemplate nel Codice del terzo settore (in particolare, accreditamento, co-progettazione e partenariato)...","Sono soggette al Codice dei contratti pubblici, al fine di tutelare la concorrenza anche fra enti del terzo settore, ove il servizio sia prospetticamente svolto dall'affidatario in forma onerosa",Completamento
275,Le procedure negoziate sono:,le procedure in cui le stazioni appaltanti consultano gli operatori economici da loro scelti e negoziano con uno o più di essi le condizioni dell'appalto,Completamento
276,Le soglie comunitarie previste dal codice dei contratti sono al lordo o al netto degli oneri fiscali?,Le soglie sono al netto dell'imposta del valore aggiunto,Generazione
277,"Le stazioni appaltanti , ai sensi dell'art.59 comma 1 del D.Lgs. 36/2023, possono concludere accordi quadro di durata non superiore :","a quattro anni, salvo casi eccezionali debitamente motivati",Completamento
278,Le stazioni appaltanti individuano gli elementi essenziali del contratto:,Prima dell'avvio delle procedure di affidamento,Completamento
279,Le stazioni appaltanti possono ricorrere ad una centrale di committenza ubicata in altro Stato membro dell'Unione europea?,"Sì, solo per le attività di centralizzazione delle committenze svolte nella forma di acquisizione centralizzata di forniture e/o servizi a stazioni appaltanti",Generazione
280,"Le stazioni appaltanti, ai sensi dell'art. 15 comma 6 del D.Lgs. 36/2023, possono istituire una struttura di supporto al RUP e destinare risorse finanziarie per l'affidamento diretto da parte del RUP di incarichi di assistenza al medesimo, non superiori a quale percentuale rispetto alla base d'asta?",1%,Generazione
281,L'efficacia della nomina dei Punti Istruttori cessa:,al cessare della Abilitazione del Soggetto Aggiudicatore che l'ha nominato,Completamento
282,L'esecuzione del contratto è controllata:,"dal responsabile unico del procedimento, congiuntamente al direttore dei lavori, per i lavori, o dal direttore dell'esecuzione del contratto, per i servizi e le forniture",Completamento
283,L'esecuzione del contratto:,"può avere inizio solo dopo che lo stesso è divenuto efficace, salvo che, in casi di urgenza, la stazione appaltante ne chieda l'esecuzione anticipata, nei modi e alle condizioni previste al co. 8 del citato articolo",Completamento
284,L'importanza della programmazione per l'acquisizione di beni e servizi è stata definitivamente riconosciuta:,dal D.Lgs.vo 50/2016,Completamento
285,L'importo a base di gara:,rileva per il calcolo della cauzione provvisoria,Completamento
286,L'incompletezza del DGUE presentato da un concorrente può essere sanata mediante il soccorso istruttorio?,"Si, sempre",Generazione
287,"L'offerta è corredata da una garanzia fideiussoria, denominata ""garanzia provvisoria"" pari:","Al 2% del prezzo base indicato nel bando o nell'invito, sotto forma di cauzione o di fideiussione, a scelta dell'offerente",Completamento
288,L'offerta presentata in fase di gara è vincolante per il concorrente?,"Si, è vincolante per il periodo indicato nel bando o nell'invito e, in caso di mancata indicazione, per centottanta giorni dalla scadenza del termine per la sua presentazione",Generazione
289,"L'operatore economico che intende partecipare ad una procedura per l'aggiudicazione di un appalto utilizza la piattaforma di approvvigionamento digitale messa a disposizione dalla stazione appaltante per compilare quali atti ai sensi dell'art. 91, comma 1, del D.Lgs.36/2023?",La domanda di partecipazione; il documento di gara unico europeo; l'offerta; ogni altro documento richiesto per la partecipazione alla procedura di gara,Generazione
290,Negli affidamenti dei contratti sotto soglia il principio della rotazione degli inviti e degli affidamenti...,Deve essere applicato in ogni caso,Completamento
291,"Negli appalti di lavori , la stazione appaltante può stabilire che il contratto abbia per oggetto la progettazione esecutiva e l'esecuzione di lavori sulla base di un progetto di fattibilità tecnico-economica approvato. L'art. 44 del D.Lgs.36/2023 stabilisce che tale facoltà non può essere esercitata per gli appalti di opere di:",manutenzione ordinaria,Completamento
292,Negli appalti pubblici la nomina della commissione di gara:,è effettuata dopo la scadenza del termine fissato per la presentazione delle offerte,Completamento
293,"Nei casi di aggiudicazione attraverso il criterio del ""minor prezzo"" ha valore di aggiudicazione un'analisi tecnica relativa al maggior pregio?","No, l''unico criterio di aggiudicazione è il prezzo più basso",Generazione
294,Nei contratti misti comprendenti in parte servizi e in parte forniture l'oggetto principale:,è determinato in base al valore stimato più elevato tra quelli dei rispettivi servizi o forniture,Completamento
295,Nei documenti di gara delle procedure competitive con negoziazione le amministrazioni aggiudicatrici devono indicare i requisiti minimi che tutti gli offerenti devono soddisfare?,Sì,Generazione
296,"Nel calcolo del valore stimato di un appalto di lavori, servizi e/o forniture deve tenersi conto:","dell'importo massimo stimato, al netto dell' IVA, compresi eventuali opzioni o rinnovi del contratto esplicitamente previsti nei documenti di gara",Completamento
297,"Nel caso di lavori, forniture o servizi, nell'offerta devono essere specificate le categorie di lavori o le parti del servizio o della fornitura che saranno eseguite dai singoli operatori economici riuniti o consorziati?","Sì, in base a quanto espressamente stabilito dal d.lgs. 50/2016",Generazione
298,"Nel caso di lavori, per raggruppamento temporaneo di tipo verticale s'intende una riunione di operatori economici nell'ambito della quale uno di essi:",realizza i lavori della categoria prevalente,Completamento
299,"Nel caso di un appalto per lavori di importo inferiore a un milione di euro, la verifica preventiva della progettazione è effettuata dal:",Responsabile unico del procedimento,Completamento
300,"Nel codice dei contratti come viene qualificata la persona fisica o giuridica che offre sul mercato la realizzazione di lavori o opere, la fornitura di prodotti o la prestazione di servizi?",Operatore economico,Generazione
301,"Nel fissare i requisiti di partecipazione e i criteri di valutazione delle gare, le stazioni appaltanti devono tenere conto delle realtà imprenditoriali di minori dimensioni?","Si, lo prevede espressamente il Codice dei contratti pubblici senza rinunciare al livello qualitativo delle prestazioni",Generazione
302,"Nel mercato elettronico della Pubblica Amministrazione (MePA), le tipologie di beni e servizi sono classificate in:",Appositi bandi,Completamento
303,"Nel mercato elettronico della Pubblica Amministrazione (MePA), tramite RDO (richiesta di offerta) le stazioni appaltanti possono acquistare beni o servizi utilizzando lo strumento:","dell'affidamento diretto, della procedura aperta, della procedura negoziata o della procedura negoziata con un solo operatore",Completamento
304,"Nel rispetto della disciplina comunitaria in materia di appalti pubblici, al fine di favorire l'accesso delle piccole e medie imprese, le stazioni appaltanti devono, ove possibile ed economicamente conveniente, suddividere gli appalti in:",Lotti funzionali,Completamento
305,Nella Determina a contrarre sono presenti gli importi della base di gara?,Sono una parte essenziale di questa,Generazione
306,Nella procedura ad evidenza pubblica di un appalto pubblico indicare il corretto ordine delle fasi.:,"Determinazione a contrattare, pubblicazione bando di gara, scelta del contraente, aggiudicazione, stipula del contratto",Completamento
307,"Nell'affidamento a contraente generale, il soggetto aggiudicatore provvede:",alla nomina del direttore dei lavori e dei collaudatori,Completamento
308,Nell'ambito degli appalti pubblici con l'acronimo M.E.P.A. Si intende:,Indicare il Mercato Elettronico per la Pubblica Amministrazione messo a disposizione dalla CONSIP SPA per gli acquisti inferiori alle soglie comunitarie (art 35 D.Lgs 50/16)da parte della Pubblica Amministrazione,Completamento
309,Nell'ambito del Codice dei contratti pubblici (D.lgs. 36/2023 e s.m.i.) che cosa indica l'acronimo RUP?,Il responsabile unico del progetto,Generazione
310,Nell'ambito del Codice dei contratti pubblici (D.lgs. 36/2023 e s.m.i.) chi è il RUP?,Il responsabile unico del progetto,Generazione
311,"Nell'ambito del Codice dei contratti, le ""procedure aperte"" sono quelle procedure di affidamento in cui:",ogni operatore economico interessato può presentare un'offerta,Completamento
312,"Nell'ambito del collaudo e verifica di conformità, chi controlla l'esecuzione del contratto per i lavori?",Il responsabile unico del procedimento congiuntamente al direttore dei lavori,Generazione
313,"Nell'ambito del MePa, quale delle seguenti affermazioni è vera?","La RDO (Richiesta di Offerta) serve a consentire alle stazioni appaltanti, che intendono o sono tenute ad approvvigionarsi sul MEPA, di acquistare beni o servizi di valore inferiore alla soglia comunitaria",Generazione
314,"Nell'ambito della normativa del diritto amministrativo, in particolare secondo il Codice degli appalti, le procedure negoziate sono quelle in cui:",le stazioni appaltanti consultano gli operatori economici da loro scelti e negoziano con uno o più di essi le condizioni dell'appalto,Completamento
315,"Nell'ambito delle procedure ad evidenza pubblica il ""soccorso istruttorio"" è lo strumento che:",Consente di sanare le carenze di qualsiasi elemento formale della domanda,Completamento
316,Nell'ambito delle procedure di affidamento di un appalto pubblico con il bando di gara la pubblica amministrazione:,Indice le procedure di scelta del contraente,Completamento
317,Nell'ambito delle procedure di affidamento di un appalto pubblico cosa si intende per procedura aperta?,Un sistema di scelta del contrente che consente a tutti gli operatori economici che possiedono determinati requisiti di presentare la propria offerta,Generazione
